PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000073700 uM,Activity at 0.0000311978 uM,Activity at 0.0000755538 uM,Activity at 0.0001700784 uM,Activity at 0.0003537877 uM,Activity at 0.0007609388 uM,Activity at 0.00133 uM,Activity at 0.00267 uM,Activity at 0.00634 uM,Activity at 0.00855 uM,Activity at 0.017 uM,Activity at 0.041 uM,Activity at 0.071 uM,Activity at 0.179 uM,Activity at 0.354 uM,Activity at 0.663 uM,Activity at 1.576 uM,Activity at 1.933 uM,Activity at 5.110 uM,Activity at 9.286 uM,Activity at 17.35 uM,Activity at 44.46 uM,Activity at 93.38 uM,Activity at 162.7 uM,Compound QC
653,144203661,1355,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015247-04/118815645,,Inactive,,,,0,,,4.9549,0.5832,8,-7.7945,4,0 0 0 0 0 0 0,5.7144,,,,,,,,-13.9954,,,-5.1135,,-7.3527,,-7.0182,,,-1.2666,,-12.793,,5.7144,,,QC'd by BIOMOL
654,144203662,2812,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015251-02/118814385,,Inactive,,,,0,,,0.4,0.8083,-14.7207,12,4,0 0 0 0 0 0 0,-12.4528,,,,,,,7.1442,,-4.4333,,,-5.4369,,-2.8707,,-11.6717,,,-14.7672,,-12.4528,,,,QC'd by Prestwick Chemical; Inc.
655,144203663,2913,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015252-08/118813562,,Inactive,,,,0,,,4.9549,0.9213,29,3,4,0 0 0 0 0 0 0,25.0639,,,,,,,,2.1258,,,5.6454,,2.7571,,6.1978,,,0,,0,,25.0639,,,QC'd by BIOMOL
656,144203665,4652,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015255-04/118815979,,Inactive,,,,0,,,4.9549,0.5398,12,-5.9502,4,0 0 0 0 0 0 1,-13.5428,,,,,,,,-2.4622,,,-4.5191,,-12.4585,,0.9371,,,-11.1719,,7.6351,,-13.5428,,,QC'd by Microsource
657,144203666,64927,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015256-01/118814380,,Inactive,,,,0,,,,,,,4,,-0.7955,,,,,,,,-2.87,,,1.3322,,-5.4989,,-2.2912,,,-1.4125,,-7.7994,,-0.7955,,,QC'd by SigmaAldrich
658,144203667,2796,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015257-08/118813933,,Inactive,,,,0,,,4.9549,0.4742,2,-5.6463,4,0 0 0 0 0 0 0,4.3278,,,,,,,,-4.2886,,,3.1708,,-2.7557,,2.2222,,,5.2473,,1.0646,,4.3278,,,QC'd by SigmaAldrich
659,144203670,2753,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015269-03/118815372,,Inactive,,,,0,,,0.6,0.4873,-14.4632,5.5,4,0 0 0 0 0 0 0,-8.7194,,,,,,,,-0.7287,,,15.7645,,0.5343,,1.5496,,,1.0575,,-2.9259,,-8.7194,,,QC'd by SigmaAldrich
660,144203671,2726,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015273-11/118813307,,Inactive,,,,0,,,4.9549,0.5126,-1.0928,13,4,0 0 0 0 0 0 0,-6.483,,,,,,,,12.8001,,,10.5565,,-10.0773,,9.2432,,,0,,1.6455,,-6.483,,,QC'd by BIOMOL
661,144203672,2762,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015277-02/118814419,,Inactive,,,,0,,,0.9,0.5542,-1.5,-9.5194,4,0 0 0 0 0 0 0,1.1782,,,,,,,-7.9328,,-5.6908,,,-3.7419,,1.1744,,-4.3751,,,-4.026,,1.1782,,,,QC'd by Prestwick Chemical; Inc.
662,144203673,2576,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015278-09/118815492,,Inactive,,,,0,,,,,,,4,,-16.5317,,,,,,,,-20.1026,,,-17.5405,,-5.6677,,8.5647,,,-13.7005,,-17.9123,,-16.5317,,,QC'd by SigmaAldrich
663,144203674,19379,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015279-02/118813970,,Inactive,,,,0,,,4.9549,0.4124,0.1026,8.5,4,0 0 0 0 0 0 0,-1.09,,,,,,,6.0119,,-2.079,,,-4.0811,,2.003,,2.6271,,,3.2943,,-1.09,,,,QC'd by Prestwick Chemical; Inc.
664,144203675,2910,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015288-06/118814408,,Inactive,,,,0,,,4.9549,0.4018,-24.4229,1.5,4,0 0 0 0 0 0 0,-20.3524,,,,,,,,8.6036,,,8.566,,-1.3706,,2.1396,,,-19.1314,,9.9923,,-20.3524,,,QC'd by BIOMOL
665,144203678,3100,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015335-07/118814336,,Inactive,,,,0,,,2.7202,0.3722,4.5,-2.963,4,0 0 0 0 0 0 0,4.1853,,,,,,,,-1.6489,,,-0.5418,,1.7811,,-9.1359,,,-5.0247,,-1.3263,,4.1853,,,QC'd by BIOMOL
666,144203679,10649,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015339-02/118813585,,Inactive,,,,0,,,4.5045,0.6652,5,-11.067,4,0 0 0 0 0 0 1,-23.7534,,,,,,,-14.4918,,-10.7751,,,-2.8003,,-15.4725,,-6.2022,,,4.7377,,-23.7534,,,,QC'd by Prestwick Chemical; Inc.
667,144203680,65327,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015340-02/118813564,,Inactive,,,,0,,,,,,,4,,-3.477,,,,,,,-0.6351,,14.6924,,,5.3743,,-6.831,,15.9257,,,9.0829,,-3.477,,,,QC'd by Prestwick Chemical; Inc.
668,144203681,6419921,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015344-03/118813875,,Inactive,,,,0,,,,,,,4,,4.5829,,,,,,,,1.5301,,,16.5793,,2.1604,,2.4255,,,13.7406,,15.0147,,4.5829,,,QC'd by SigmaAldrich
669,144203682,3053,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015360-05/118813357,,Inactive,,,,0,,,0.6,0.7109,38,0.8277,4,0 0 0 0 0 0 0,28.9301,,,,,,,,-2.0457,,,11.0547,,-2.2269,,-0.5154,,,18.3732,,13.849,,28.9301,,,QC'd by Labotest
670,144203683,3019,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015380-09/118813350,,Inactive,,,,0,,,3.0654,0.6055,1.5,-7.2618,4,0 0 0 0 1 0 0,-0.5273,,,,,,,,-4.6088,,,-4.4764,,-13.5515,,-4.2553,,,-86.995,,3.1583,,-0.5273,,,QC'd by BIOMOL
671,144203686,9363,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015397-02/118814983,,Inactive,,,,0,,,4.9549,0.5074,1.4619,13,4,0 0 0 0 0 0 0,2.3898,,,,,,,13.2474,,11.7665,,,-3.5884,,-5.4484,,5.1162,,,10.1181,,2.3898,,,,QC'd by Prestwick Chemical; Inc.
672,144203687,9363,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015397-06/118815395,,Inactive,,,,0,,,,,,,4,,-3.0202,,,,,,,,-16.376,,,0.6696,,-5.9597,,-6.3663,,,-16.4128,,-1.7971,,-3.0202,,,QC'd by SigmaAldrich
673,144203688,53708,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015400-02/118815600,,Inactive,,,,0,,,,,,,4,,4.8819,,,,,,,,-11.5845,,,1.1521,,-3.4946,,-9.4589,,,5.9357,,-8.3384,,4.8819,,,QC'd by SigmaAldrich
674,144203689,8307,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015409-02/118813375,,Inactive,,,,0,,,1.6259,0.5374,2,-9.8066,4,0 0 0 0 0 0 1,-8.6101,,,,,,,-8.944,,-3.958,,,-18.1722,,-6.589,,-2.1453,,,1.8081,,-8.6101,,,,QC'd by Prestwick Chemical; Inc.
675,144203690,72016,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015410-04/118815728,,Inhibitor,23.1093,80.0109,,21,Partial curve; partial efficacy,-4.6362,1.6924,0.9422,-81.8657,-1.8548,-2.2,0 0 0 0 0 0 0,-63.1558,,,,,,,,5.3923,,,-8.5937,,-2.773,,4.469,,,-9.9282,,-14.4274,,-63.1558,,,QC'd by BIOMOL
676,144203691,3194,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015412-06/118815040,,Inactive,,,,0,,,4.9549,0.3673,-6.4912,1.5,4,0 0 0 0 0 0 0,-5.4634,,,,,,,,0.8451,,,1.7977,,-5.826,,3.7534,,,4.1035,,3.3327,,-5.4634,,,QC'd by SigmaAldrich
677,144203692,6207,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015416-02/118814871,,Inactive,,,,0,,,4.9549,0.7471,-18.456,3.5,4,0 0 0 0 0 0 1,5.7568,,,,,,,,5.9432,,,3.8542,,-7.6839,,11.2504,,,-16.2583,,-18.2967,,5.7568,,,QC'd by SigmaAldrich
678,144203693,3396,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015424-04/118815000,,Inhibitor,18.3564,97.7136,,10,Single point of activity,-4.7362,4.4495,0.988,-98.7328,-1.0192,-3,0 0 0 0 0 0 0,-97.3697,,,,,,,,-6.3299,,,-2.4784,,-4.0189,,4.5523,,,3.9894,,-5.2179,,-97.3697,,,QC'd by BIOMOL
679,144203694,3433,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015426-04/118815940,,Inactive,,,,0,,,1.9887,0.8069,16.5,-4.9761,4,0 0 0 0 0 0 0,16.4579,,,,,,,,-2.0199,,,0.3193,,-13.7301,,-4.0771,,,-3.2003,,10.1423,,16.4579,,,QC'd by BIOMOL
680,144203695,3386,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015428-08/118814648,,Inactive,,,,0,,,4.9549,0.351,5,-0.2011,4,0 0 0 0 0 0 1,2.0426,,,,,,,,2.0535,,,-0.8711,,-1.0074,,9.1241,,,7.988,,-1.4176,,2.0426,,,QC'd by BIOMOL
681,144203697,3372,Active,41,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015436-07/118813884,,Inhibitor,20.5962,102.9029,,41,Partial curve; high efficacy,-4.6862,2.7868,0.953,-109.6546,-6.7517,-2.1,0 0 0 0 0 0 0,-99.8676,,,,,,,,-16.2608,,,4.0048,,-3.7901,,-17.2149,,,-1.1883,,-16.4086,,-99.8676,,,QC'd by BIOMOL
682,144203698,3339,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015437-10/118814926,,Inactive,,,,0,,,2.7202,0.8379,31,2.4562,4,0 0 0 0 0 0 0,24.6669,,,,,,,,6.2682,,,7.9362,,4.8854,,-0.5635,,,-1.2865,,3.5899,,24.6669,,,QC'd by SigmaAldrich
683,144203700,3442,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015441-04/118814708,,Inactive,,,,0,,,4.9549,0.5745,3,-5.4367,4,0 0 0 0 0 0 0,2.1991,,,,,,,,-4.6876,,,1.5382,,-7.4289,,-8.0957,,,-9.5306,,3.9297,,2.1991,,,QC'd by SigmaAldrich
684,144203701,3385,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015442-02/118813698,,Inactive,,,,0,,,0.9641,0.882,30,-2.259,4,0 0 0 0 0 0 0,22.7199,,,,,,,,-8.5492,,,2.2844,,-1.4889,,-0.0572,,,2.8402,,8.3142,,22.7199,,,QC'd by NIEHS
685,144203704,3325,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015446-05/118813321,,Activator,29.0929,34.4821,,0,Single point of activity,-4.5362,4.9549,0.8997,33.5,-0.9821,3,0 0 0 0 0 0 0,30.2419,,,,,,,,-1.988,,,-4.5684,,3.6721,,5.2099,,,-4.5099,,-3.4326,,30.2419,,,QC'd by BIOMOL
686,144203705,3397,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015452-09/118814849,,Inactive,,,,0,,,4.9549,0.7984,-20.7454,2,4,0 0 0 0 0 0 0,-17.2878,,,,,,,,3.4164,,,5.9158,,-2.7356,,1.6601,,,-2.941,,5.8591,,-17.2878,,,QC'd by SigmaAldrich
687,144203706,3333,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015455-03/118815177,,Inactive,,,,0,,,2.9523,0.6791,-10.494,4,4,0 0 0 0 0 0 0,-8.745,,,,,,,,5.3114,,,7.1265,,-0.8971,,8.1146,,,0.4209,,3.0707,,-8.745,,,QC'd by SigmaAldrich
688,144203707,3478,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015462-07/118814170,,Inactive,,,,0,,,2.2526,0.9887,3,-10.6158,4,0 0 0 0 0 0 0,2.8191,,,,,,,,-10.0203,,,-10.9298,,-4.8762,,3.5097,,,1.9442,,3.1015,,2.8191,,,QC'd by BIOMOL
689,144203708,3446,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015466-08/118813460,,Inactive,,,,0,,,,,,,4,,17.0816,,,,,,,2.9207,,10.5382,,,-2.8586,,9.822,,17.132,,,0,,17.0816,,,,QC'd by Prestwick Chemical; Inc.
690,144203709,3488,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015467-11/118813276,,Inactive,,,,0,,,2.9523,0.9598,1.5,-7.8747,4,0 0 0 0 0 0 1,-9.5268,,,,,,,,-9.0622,,,-6.2324,,-7.9825,,-6.2615,,,0.7819,,1.6686,,-9.5268,,,QC'd by BIOMOL
691,144203710,71401,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015469-05/118814327,,Inactive,,,,0,,,0.7,0.5811,9,-7.7514,4,0 0 0 0 0 0 0,6.6254,,,,,,,,-11.3473,,,-0.5913,,-11.4595,,-7.4495,,,-0.1764,,-3.0019,,6.6254,,,QC'd by BIOMOL
692,144203711,135398740,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015471-02/118813771,,Inactive,,,,0,,,3.99,0.3785,6,-3.5577,4,0 0 0 0 0 0 0,5.8174,,,,,,,-6.9339,,1.703,,,-11.7148,,0.6327,,-2.0225,,,-2.8907,,5.8174,,,,QC'd by Prestwick Chemical; Inc.
693,144203712,5280961,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015479-09/118814018,,Activator,16.3601,38.2243,,0,Single point of activity,-4.7862,2.7202,0.863,34.2347,-3.9896,3,0 0 0 0 0 0 0,32.1288,,,,,,,,5.0143,,,0.4116,,-10.1841,,-8.6821,,,-7.5583,,3.3155,,32.1288,,,QC'd by SigmaAldrich
694,144203714,9351,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015501-02/118813438,,Inactive,,,,0,,,3.9295,0.4704,-22.0434,-2.5,4,0 0 0 0 0 0 0,-20.8695,,,,,,,-2.0779,,7.7936,,,-16.6539,,-3.1906,,0.788,,,-3.2075,,-20.8695,,,,QC'd by Prestwick Chemical; Inc.
695,144203715,5702293,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015506-03/118816057,,Inactive,,,,0,,,0.9,0.7727,-16.1765,-2,4,0 0 0 0 0 0 1,-6.1978,,,,,,,,-5.6622,,,0.2586,,-2.1212,,-4.1026,,,-6.1613,,-11.8137,,-6.1978,,,QC'd by BIOMOL
696,144203716,3639,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015508-08/118814324,,Inactive,,,,0,,,4.4495,0.8136,27.5,1.0364,4,0 0 0 0 0 0 0,23.0027,,,,,,,,5.183,,,0.9455,,-6.2196,,0.0152,,,5.8391,,-0.2436,,23.0027,,,QC'd by Microsource
697,144203717,774,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015513-04/118814330,,Inactive,,,,0,,,4.9549,0.4403,-10.9701,-2,4,0 0 0 0 0 0 0,-8.3342,,,,,,,,-5.2863,,,-3.8006,,-6.7781,,7.1594,,,-3.8587,,-13.7251,,-8.3342,,,QC'd by BIOMOL
698,144203718,681,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015519-05/118813395,,Inactive,,,,0,,,4.9549,0.5144,0.3358,3,4,0 0 0 0 0 0 0,0.713,,,,,,,,0.1047,,,5.1567,,4.1325,,-0.1368,,,0,,0,,0.713,,,QC'd by BIOMOL
699,144203719,3657,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015520-03/118815922,,Inactive,,,,0,,,4.9549,0.4268,6,-1.7606,4,0 0 0 0 1 0 0,2.9212,,,,,,,,-4.0358,,,5.5765,,-7.3005,,4.0475,,,-55.5174,,8.7015,,2.9212,,,QC'd by Microsource
700,144203720,785,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015523-02/118814584,,Inactive,,,,0,,,4.9549,0.7765,-7.6746,4,4,0 0 0 0 0 0 0,-4.9553,,,,,,,,1.71,,,7.8019,,-0.0002,,6.261,,,-10.9788,,-6.3521,,-4.9553,,,QC'd by NIEHS
701,144203721,3672,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015529-09/118815432,,Inactive,,,,0,,,4.4495,0.4047,1.5,-3.1274,4,0 0 0 0 0 0 0,1.4907,,,,,,,,-0.8396,,,-6.3562,,-3.8272,,0.7584,,,-4.6379,,0.2502,,1.4907,,,QC'd by SigmaAldrich
702,144203722,55918,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015547-02/118815217,,Inactive,,,,0,,,4.9549,0.6263,24.1123,3.4636,4,0 0 0 0 0 0 0,11.9124,,,,,,,,6.7698,,,7.1104,,1.1833,,-1.697,,,4.5626,,36.6923,,11.9124,,,QC'd by SigmaAldrich
703,144203724,54459,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015560-06/118814707,,Activator,23.1093,34,,0,Partial curve; partial efficacy; poor fit,-4.6362,1.1,0.8983,38,4,2.4,0 0 0 0 0 0 0,29.0501,,,,,,,,6.5438,,,0.2191,,1.9084,,7.5911,,,7.9678,,9.687,,29.0501,,,QC'd by BIOMOL
704,144203725,3696,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015563-07/118813553,,Inactive,,,,0,,,4.9549,0.8568,-13.1372,1,4,0 0 0 0 0 0 0,-10.8096,,,,,,,,-1.5174,,,3.1932,,-2.5937,,5.6517,,,-12.1428,,-14.6977,,-10.8096,,,QC'd by BIOMOL
705,144203726,133621,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015570-04/118815320,,Inactive,,,,0,,,1.6266,0.6737,21,2.9839,4,0 0 0 0 0 0 0,19.8587,,,,,,,,8.2759,,,10.666,,-0.8467,,2.4255,,,2.0546,,14.7405,,19.8587,,,QC'd by BIOMOL
706,144203728,3932,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015590-03/118815118,,Inactive,,,,0,,,4.9549,0.3872,1.5,-4.5453,4,0 0 0 0 0 0 0,0.1234,,,,,,,,-2.1667,,,-0.3552,,-11.7044,,4.7992,,,1.9228,,-1.46,,0.1234,,,QC'd by SigmaAldrich
707,144203729,3965,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015594-02/118815206,,Inactive,,,,0,,,3.1925,0.5164,-19.3645,-1.5,4,0 0 0 0 0 0 1,-8.0454,,,,,,,,3.2785,,,-2.1677,,-11.9491,,3.9043,,,-1.9443,,-16.137,,-8.0454,,,QC'd by SigmaAldrich
708,144203730,3878,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015605-06/118815271,,Inactive,,,,0,,,4.9549,0.843,8,-3.707,4,0 0 0 0 0 0 0,6.7789,,,,,,,,-5.8647,,,-6.4225,,0.7315,,-3.0362,,,-2.7767,,9.1839,,6.7789,,,QC'd by SigmaAldrich
709,144203732,39562,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015609-03/118815783,,Inactive,,,,0,,,2.3531,0.4786,-0.347,-8.2769,4,0 0 0 0 0 0 1,-9.1315,,,,,,,,-5.6749,,,-8.0752,,-12.7308,,-6.9102,,,-7.9645,,-2.7892,,-9.1315,,,QC'd by SigmaAldrich
710,144203733,3899,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015610-02/118813457,,Inhibitor,7.8467,34.0737,,10,Single point of activity,-5.1053,2.4064,0.9581,-37.2681,-3.1944,-3,0 0 0 0 0 0 0,-33.9734,,,,,,,-3.0808,,-1.0639,,,-6.1931,,-6.399,,-0.162,,,-9.5619,,-33.9734,,,,QC'd by Prestwick Chemical; Inc.
711,144203734,3676,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015611-10/118814559,,Inactive,,,,0,,,,,,,4,,-0.324,,,,,,,,-7.378,,,-2.8952,,-2.6736,,-1.4534,,,-5.0989,,-7.0665,,-0.324,,,QC'd by BIOMOL
712,144203735,3883,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015615-02/118815667,,Inactive,,,,0,,,1,0.7636,-15.2138,-4.3838,4,0 0 0 0 0 0 0,-13.0948,,,,,,,,-5.1204,,,-1.9865,,-5.297,,-7.2639,,,-3.2701,,-11.397,,-13.0948,,,QC'd by Prestwick Chemical; Inc.
713,144203737,4170,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015630-02/118815106,,Inactive,,,,0,,,4.095,0.9453,2.5946,-40.5427,4,1 0 0 0 0 0 0,2.4695,,,,,,,,-94.6196,,,-37.6932,,0.6953,,-0.0306,,,-0.4696,,10.4156,,2.4695,,,QC'd by SigmaAldrich
714,144203738,65710,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015640-02/118815012,,Inactive,,,,0,,,4.5045,0.8355,-5.3041,-14.1485,4,0 0 0 0 0 0 1,-19.0155,,,,,,,,-11.0441,,,-14.4912,,-17.2071,,-14.2899,,,-6.3113,,-5.2534,,-19.0155,,,QC'd by SigmaAldrich
715,144203739,4168,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015643-07/118813924,,Inactive,,,,0,,,3.99,0.3696,10,-3.0415,4,0 0 0 0 0 0 0,7.4456,,,,,,,,-2.5127,,,-1.4166,,-5.4513,,3.4584,,,25.9353,,-3.2216,,7.4456,,,QC'd by BIOMOL
716,144203740,4122,Active,89,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015647-05/118814733,,Inhibitor,0.2311,78.6963,,89,Complete curve; high efficacy,-6.6362,2.7202,0.9972,-80.0127,-1.3164,-1.1,0 0 0 0 0 0 0,-82.8821,,,,,,,,-4.5072,,,0.2819,,-3.4603,,-61.6055,,,-78.742,,-78.7492,,-82.8821,,,QC'd by Microsource
717,144203741,4810,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015649-02/118813665,,Inactive,,,,0,,,4.9549,0.663,-3.0656,14,4,0 0 0 0 1 0 1,11.6413,,,,,,,14.4541,,10.4755,,,-12.9714,,0.9241,,35.0358,,,2.9322,,11.6413,,,,QC'd by Prestwick Chemical; Inc.
718,144203743,5353788,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015661-02/118813275,,Inactive,,,,0,,,,,,,4,,-5.149,,,,,,,-14.5835,,-10.329,,,5.4743,,-13.8934,,-1.8667,,,-13.4846,,-5.149,,,,QC'd by Prestwick Chemical; Inc.
719,144203745,6420039,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015678-02/118813847,,Inactive,,,,0,,,4.9549,0.5742,5.5,-5.5955,4,0 0 0 0 0 0 0,3.9683,,,,,,,-2.8435,,-1.5892,,,-11.7463,,12.5511,,5.7583,,,0,,3.9683,,,,QC'd by Prestwick Chemical; Inc.
720,144203746,896,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015680-11/118814067,,Inactive,,,,0,,,4.9549,0.3971,5,-4.276,4,0 0 0 0 0 0 0,4.6215,,,,,,,,2.1251,,,2.485,,-9.2089,,-13.1467,,,-1.1062,,5.8597,,4.6215,,,QC'd by BIOMOL
721,144203747,119442,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015686-05/118813977,,Inactive,,,,0,,,,,,,4,,-0.3616,,,,,,,,-4.8602,,,26.0348,,-0.6651,,1.7224,,,17.7492,,-2.2266,,-0.3616,,,QC'd by BIOMOL
722,144203748,51082,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015693-02/118813402,,Inhibitor,13.9537,78.525,,10,Single point of activity,-4.8553,4.9549,0.8075,-80.4502,-1.9252,-3,0 0 0 0 0 0 0,-70.969,,,,,,,-6.6031,,-10.8375,,,-15.0315,,-6.3395,,3.8826,,,23.2828,,-70.969,,,,QC'd by Prestwick Chemical; Inc.
723,144203749,4032,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015703-03/118813485,,Inactive,,,,0,,,4.9549,0.64,-4.5237,2,4,0 0 0 0 0 0 1,0.1647,,,,,,,,-1.8091,,,3.6086,,1.3508,,5.691,,,-4.603,,-3.9914,,0.1647,,,QC'd by BIOMOL
724,144203751,4011,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015708-04/118814393,,Inactive,,,,0,,,4.9549,0.5175,3,-23.8649,4,0 0 0 0 0 0 0,3.4573,,,,,,,,-19.8874,,,10.1404,,-0.05,,8.5012,,,8.6106,,-13.9589,,3.4573,,,QC'd by BIOMOL
