PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000457000 uM,Activity at 0.0001972026 uM,Activity at 0.0003839484 uM,Activity at 0.0008898812 uM,Activity at 0.00155 uM,Activity at 0.00213 uM,Activity at 0.00547 uM,Activity at 0.00919 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.052 uM,Activity at 0.092 uM,Activity at 0.191 uM,Activity at 0.436 uM,Activity at 0.684 uM,Activity at 1.305 uM,Activity at 2.310 uM,Activity at 4.906 uM,Activity at 10.69 uM,Activity at 15.09 uM,Activity at 33.08 uM,Activity at 57.10 uM,Activity at 112.0 uM,Activity at 226.8 uM,Activity at 254.9 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
931,363681271,9803245,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485262-01/222280117,,Inhibitor,28.1838,95.9518,10,Single point of activity,-4.55,1.8079,0.9934,-87.4518,8.5,-3,0 0 0 0 0 0,-66.6301,,,,,,,,,5.485,,,12.8042,,8.3793,,,6.3548,,-6.2618,,,-66.6301,,,,QC'd by SIGMA
932,363681290,25108642,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485335-01/222280130,,Inhibitor,15.8489,54.7362,10,Single point of activity,-4.8,2.2526,0.9672,-45.3889,9.3473,-3,0 0 0 0 0 0,-42.2453,,,,,,,,,4.5335,,,5.8938,,14.6998,,,11.5262,,-7.5658,,,-42.2453,,,,QC'd by SIGMA
933,363681321,10434225,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485408-01/222280021,,Inhibitor,1.7783,48.965,10,Complete curve; partial efficacy; poor fit,-5.75,1.1762,0.9998,-47.6172,1.3478,-1.4,1 0 0 0 0 0,-46.5216,,,,,,,,,-24.9683,,,0,,-7.0557,,,-26.3364,,-42.9135,,,-46.5216,,,,QC'd by SIGMA
934,363681322,135433495,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485409-01/222279848,,Inhibitor,35.4813,96.1249,10,Single point of activity,-4.45,4.9549,0.9912,-77.4386,18.6863,-3,0 0 0 0 0 0,-69.1155,,,,,,,,,21.0196,,,17.2837,,13.005,,,22.7475,,19.1884,,,-69.1155,,,,QC'd by SIGMA
935,363681334,137247191,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485429-01/222279743,,Inhibitor,25.1189,67.3652,10,Single point of activity,-4.6,4.4495,0.9994,-74.8953,-7.53,-3,0 0 0 0 0 0,-73.246,,,,,,,,,-6.5504,,,-7.6011,,-8.508,,,-8.0309,,-9.5645,,,-73.246,,,,QC'd by SIGMA
936,363681380,53320361,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485847-01/222280220,,Inhibitor,1.5003,26.5,10,Complete curve; partial efficacy; poor fit,-5.8238,4.9549,0.9858,-0.5,26,-1.4,1 0 0 0 0 0,0,,,,,,,30.7283,,26.4213,,,23.2997,,27.609,,,2.2512,,0,,,,,,,QC'd by SIGMA
937,363681398,5492271,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485892-01/222279621,,Inhibitor,22.3872,48.3146,10,Single point of activity,-4.65,2.4064,0.9984,-48.7256,-0.411,-3,0 0 0 0 0 0,-44.1103,,,,,,,,,0,,,0,,-1.6064,,,0,,-8.9602,,,-44.1103,,,,QC'd by MedChem Express
938,363681401,246940,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485899-01/222279863,,Inhibitor,39.8107,53.356,10,Single point of activity,-4.4,4.9549,0.8357,-38.9484,14.4076,-3,0 0 0 0 0 0,-31.3716,,,,,,,,,20.4303,,,24.679,,1.2077,,,9.6504,,17.1355,,,-31.3716,,,,QC'd by MedChem Express
939,363681406,72200252,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485907-01/222283843,,Inhibitor,19.9526,71.9873,10,Single point of activity,-4.7,2.4064,0.9855,-67.0202,4.967,-3,1 0 0 0 0,-61.7577,,,,,,,,,-58.2366,,,0,,,,,8.9013,,-9.3502,,,-61.7577,,,,QC'd by MedChem Express
940,363681439,67121842,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485952-01/222279455,,Inhibitor,3.9811,47.6662,10,Complete curve; partial efficacy; poor fit,-5.4,2.0479,0.7732,-57.2161,-9.5499,-1.4,0 0 0 0 0 0,-58.0705,,,,,,,,,-24.5356,,,-23.4883,,-3.4026,,,-22.2176,,-50.8212,,,-58.0705,,,,QC'd by MedChem Express
941,363681456,60148655,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485976-01/222279444,,Inhibitor,0.2512,21.5,10,Complete curve; partial efficacy; poor fit,-6.6,4.9549,0.9784,-0.5,21,-1.4,0 0 0 0 0 1,11.5055,,,,,,,,,18.8203,,,23.3533,,0,,,0,,0,,,11.5055,,,,QC'd by MedChem Express
942,363681473,133053895,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00488702-01/222280092,,Inhibitor,12.5893,59.8271,10,Single point of activity,-4.9,4.9549,0.7604,-42.038,17.7891,-3,1 0 0 0 0 0,-34.9514,,,,,,,20.5358,,,0,,,36.9756,,14.2852,,,20.3611,,-34.9514,,,,,,QC'd by SGC
943,376241571,443688,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488799-01/222161061,,Inhibitor,49.3236,32.7971,10,Single point of activity,-4.3069,3.132,0.9496,-13.7971,19,-3,0 0 0 0 0 0 0 0 0 0 0,-13.1643,,,,,,23.8422,17.0777,,19.5921,,20.9755,,19.1445,19.3251,,15.8878,,16.9142,,18.776,10.5401,,-13.1643,,,QC'd by CANVASS
944,376241577,21140476,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00385920-02/222161068,,Inhibitor,226.8976,26.635,10,Partial curve; partial efficacy; poor fit,-3.6442,0.8,0.6367,-40.1692,-13.5342,-2.4,0 0 0 0 0 0 0 0 0 0 0,-30.141,,,,,,,-8.7785,-13.3773,,-9.4073,,-20.4927,,-16.0688,-15.0082,,-15.2362,,-16.4007,,-16.1339,,-18.1352,-30.141,,QC'd by CANVASS
945,376241591,932,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00017346-09/222161083,,Inhibitor,55.3419,40.9868,10,Single point of activity,-4.2569,2.4064,0.8873,-32.5313,8.4555,-3,1 0 0 0 0 0 0 0 0 0 0,-30.8223,,,,,,27.1354,1.8084,,11.8878,,13.5259,,4.3564,9.2907,,13.7326,,5.3304,,3.8825,-1.4228,,-30.8223,,,QC'd by CANVASS
946,376241596,134827947,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488617-01/222161088,,Inhibitor,49.3236,32.9972,10,Partial curve; partial efficacy; poor fit,-4.3069,1.1341,0.8865,-30.9972,2,-2.4,0 0 0 0 0 0 0 0 0 0 0,-22.4976,,,,,,3.5777,6.9778,,-1.4897,,-1.5285,,6.8569,0.9515,,-0.3536,,-0.8496,,-3.5275,-11.549,,-22.4976,,,QC'd by CANVASS
947,376241601,5500298,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488790-01/222161093,,Inhibitor,69.6714,40.5942,10,Partial curve; partial efficacy; poor fit,-4.1569,0.9,0.7653,-58.5031,-17.909,-2.4,0 0 0 0 0 0 0 0 0 0 0,-44.3205,,,,,,-13.4424,-20.5135,,-19.6564,,-25.8375,,-11.5908,-23.4685,,-20.6928,,-19.5661,,-27.2991,-29.4733,,-44.3205,,,QC'd by CANVASS
948,376241602,6438496,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488492-01/222161094,,Inhibitor,98.4134,37.9921,10,Partial curve; partial efficacy; poor fit,-4.0069,1.8851,0.8376,-61.536,-23.5438,-2.4,0 0 0 0 0 0 0 0 0 0 0,-46.6182,,,,,,-30.2239,-22.9597,,-22.7986,,-18.3699,,-22.4555,-20.9156,,-23.8561,,-26.3068,,-23.9109,-27.2678,,-46.6182,,,QC'd by CANVASS
949,376241608,5280805,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00160628-12/222161100,,Inhibitor,11.5342,71.4102,10,Partial curve; partial efficacy; poor fit,-4.938,0.6,0.84,-56.437,14.9731,-2.4,0 0 0 0 1 0 0 0 0 0 0,-42.0458,,,,17.7751,,12.8356,16.3935,,11.5443,,-30.1401,,12.1636,7.8637,,-17.6073,,-3.3217,,-12.198,,-42.0458,,,,QC'd by CANVASS
950,376241624,16395894,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488733-01/222161117,,Inhibitor,87.7111,49.8827,10,Single point of activity,-4.0569,1.7137,0.9167,-86.4401,-36.5574,-3,0 0 0 0 0 0 0 0 0 0 0,-67.3789,,,,,,-32.5478,-38.7177,,-34.557,,-43.042,,-35.6143,-33.8159,,-38.0781,,-36.1756,,-39.141,-45.4242,,-67.3789,,,QC'd by CANVASS
951,376241632,398937,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488656-01/222161126,,Inhibitor,43.9597,10.8304,10,Partial curve; partial efficacy; poor fit,-4.3569,2.9023,0.5263,-39.1171,-28.2868,-2.4,0 0 0 0 0 0 0 0 0 0 0,-38.4309,,,,,,-27.3136,-34.6322,,-29.1391,,-28.6073,,-24.1658,-31.6212,,-28.2845,,-23.989,,-28.8858,-32.7482,,-38.4309,,,QC'd by CANVASS
952,376241639,3083909,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488812-01/222161133,,Inhibitor,98.4134,16.6458,10,Partial curve; partial efficacy; poor fit,-4.0069,2.4064,0.4089,-46.0243,-29.3785,-2.4,0 0 0 0 0 0 0 0 0 0 0,-39.1869,,,,,,-27.4546,-37.1229,,-28.0609,,-30.7281,,-31.2731,-25.2122,,-29.72,,-31.6296,,-24.0654,-31.7155,,-39.1869,,,QC'd by CANVASS
953,376241642,21669396,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488738-01/222161136,,Inhibitor,34.9184,20.242,10,Partial curve; partial efficacy; poor fit,-4.4569,0.2,0.5066,-41.4227,-21.1807,-2.4,0 0 0 0 0 0 0 0 0 0 0,-32.8522,,,,,,-19.7339,-29.4742,,-25.5347,,-23.3709,,-30.5022,-22.8012,,-27.7422,,-29.0942,,-31.8259,-30.9428,,-32.8522,,,QC'd by CANVASS
954,376241644,46849639,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488579-01/222161138,,Inhibitor,87.7111,54.8724,10,Single point of activity,-4.0569,2.4729,0.9742,-80.8637,-25.9913,-3,0 0 0 0 0 0 0 0 0 0 0,-62.0179,,,,,,-26.5243,-22.4928,,-22.9322,,-27.3623,,-26.9315,-26.808,,-26.7505,,-24.8568,,-28.4273,-31.7715,,-62.0179,,,QC'd by CANVASS
955,376241647,5281703,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00247464-08/222161142,,Inhibitor,43.9597,32.3103,10,Partial curve; partial efficacy; poor fit,-4.3569,1.6436,0.9611,-68.4794,-36.1691,-2.4,0 0 0 0 0 0 0 0 0 0 0,-62.7012,,,,,,-37.002,-34.5558,,-38.6437,,-36.9997,,-35.8516,-32.2243,,-35.8512,,-38.7646,,-39.3567,-50.8131,,-62.7012,,,QC'd by CANVASS
956,376241649,134827983,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488542-01/222161144,,Inhibitor,69.6714,39.9696,10,Single point of activity,-4.1569,1.9673,0.8425,-59.4935,-19.5239,-3,0 0 0 0 0 0 0 0 0 0 0,-55.0866,,,,,,-22.9042,-23.7922,,-17.6199,,-15.3199,,-21.8696,-13.1956,,-20.1341,,-23.5332,,-22.9591,-23.0855,,-55.0866,,,QC'd by CANVASS
957,376241653,102441802,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488456-01/222161148,,Inhibitor,39.1791,30.9322,10,Partial curve; partial efficacy; poor fit,-4.4069,0.8,0.8983,-30.4322,0.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-22.0268,,,,,,2.6966,-1.9386,,4.6023,,0.5573,,-4.0059,1.4419,,-4.3163,,-4.67,,-5.9794,-15.1105,,-22.0268,,,QC'd by CANVASS
958,376241654,134827966,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488754-01/222161149,,Inhibitor,17.1749,27.8321,10,Partial curve; partial efficacy; poor fit,-4.7651,1.3987,0.9113,-16.8321,11,-2.4,0 0 0 0 0 0 0 0 0 0 0,-12.3601,,,,11.2551,,15.9701,,7.5935,,13.4656,12.3168,,8.1342,,7.9493,,9.5307,,6.3854,-4.3776,,-12.3601,,,,QC'd by CANVASS
959,376241655,14314508,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488496-01/222161150,,Inhibitor,49.3236,57.7763,10,Partial curve; partial efficacy; poor fit,-4.3069,2.1876,0.9124,-51.7763,6,-2.4,1 0 0 0 0 0 0 0 0 0 0,-45.7352,,,,,,33.3505,-1.0175,,9.3672,,4.5937,,16.3827,2.6599,,11.3922,,2.4838,,-0.9734,-13.6843,,-45.7352,,,QC'd by CANVASS
960,376241658,12742404,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488633-01/222161153,,Inhibitor,31.1211,14.9633,10,Complete curve; partial efficacy; poor fit,-4.5069,1.21,0.7007,-37.8703,-22.9071,-1.4,0 0 0 0 0 0 0 0 0 0 0,-34.8919,,,,,,-19.8597,-17.8392,,-26.7863,,-24.0292,,-23.5605,-24.898,,-25.1872,,-19.7956,,-27.4072,-31.9364,,-34.8919,,,QC'd by CANVASS
961,376241665,135419370,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488453-01/222161160,,Inhibitor,62.0947,32.1995,10,Partial curve; partial efficacy; poor fit,-4.2069,1.7885,0.8349,-63.3445,-31.1451,-2.4,0 0 0 0 0 0 0 0 0 0 0,-55.5654,,,,,,-38.6411,-31.4511,,-27.8305,,-26.7875,,-32.7575,-28.4708,,-28.7063,,-33.3419,,-34.5591,-39.184,,-55.5654,,,QC'd by CANVASS
962,376241669,134827981,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488451-01/222161164,,Inhibitor,55.3419,43.7541,10,Single point of activity,-4.2569,3.132,0.9372,-37.7907,5.9633,-3,0 0 0 0 0 0 0 0 0 0 0,-37.6506,,,,,,5.7783,9.8301,,11.6159,,0.9183,,3.886,7.466,,3.0899,,3.3458,,7.2727,-3.0374,,-37.6506,,,QC'd by CANVASS
963,376241675,102441807,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00489136-01/222161170,,Inhibitor,62.0947,40.0292,10,Partial curve; partial efficacy; poor fit,-4.2069,0.9,0.8878,-73.1917,-33.1625,-2.4,0 0 0 0 0 0 0 0 0 0 0,-60.9931,,,,,,-29.3021,-36.2941,,-32.4656,,-30.3977,,-35.3605,-30.8663,,-36.025,,-42.0296,,-38.6146,-46.5709,,-60.9931,,,QC'd by CANVASS
964,376241681,102441806,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488785-01/222161176,,Inhibitor,55.3419,28.4159,10,Partial curve; partial efficacy; poor fit,-4.2569,1.9673,0.8205,-22.4159,6,-2.4,0 0 0 0 0 0 0 0 0 0 0,-20.3466,,,,,,10.1261,3.9865,,5.8164,,8.2524,,5.397,2.0071,,7.2746,,7.4133,,-2.4363,1.3079,,-20.3466,,,QC'd by CANVASS
965,376241686,45112410,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488609-01/222161181,,Inhibitor,49.3236,25.1885,10,Partial curve; partial efficacy; poor fit,-4.3069,1.2876,0.8217,-9.6885,15.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-4.7404,,,,,,19.701,14.5414,,19.4263,,15.3907,,14.1431,14.9972,,9.0872,,17.3998,,9.9439,6.2236,,-4.7404,,,QC'd by CANVASS
966,376241690,21589082,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488660-01/222161185,,Inhibitor,19.6361,47.1525,10,Partial curve; partial efficacy; poor fit,-4.7069,0.3,0.7307,-41.152,6.0004,-2.4,0 0 0 0 0 0 0 0 0 0 0,-30.9593,,,,,,9.0494,8.0294,,-11.5244,,-1.299,,-5.575,-3.6282,,-11.7811,,-8.8106,,-10.9445,-17.1938,,-30.9593,,,QC'd by CANVASS
967,376241704,638024,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00094872-17/222161200,,Inhibitor,69.1896,33.6068,10,Partial curve; partial efficacy; poor fit,-4.16,1.4641,0.8963,-49.6245,-16.0177,-2.4,0 0 0 0 0 0 0 0 0 0 0,-44.4125,,,,,,,-20.0171,,-10.8481,-16.4489,,-19.3233,,-13.1967,,-16.7575,-21.3166,,-14.2366,,-20.3293,,-36.561,-44.4125,,QC'd by CANVASS
968,376241708,134827970,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488493-01/222161205,,Inhibitor,62.0947,74.33,10,Partial curve; partial efficacy; poor fit,-4.2069,0.9,0.7064,-80.5684,-6.2385,-2.4,0 0 0 0 0 0 0 0 0 0 0,-61.0367,,,,,,-12.5964,-3.8412,,-15.5188,,-4.5923,,-24.2822,1.3479,,-20.2036,,-15.9777,,-19.8249,-26.2364,,-61.0367,,,QC'd by CANVASS
969,376241711,101965701,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488581-01/222160853,,Inhibitor,55.3419,54.6937,10,Partial curve; partial efficacy; poor fit,-4.2569,2.7202,0.9106,-72.9684,-18.2748,-2.4,1 0 0 0 0 0 0 0 0 0 0,-71.5377,,,,,,-50.196,-12.8373,,-27.044,,-13.0912,,-19.3252,-14.1962,,-18.7137,,-23.4158,,-21.9187,-27.6503,,-71.5377,,,QC'd by CANVASS
970,376241729,134828010,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488641-01/222160871,,Inhibitor,62.0947,33.3489,10,Partial curve; partial efficacy; poor fit,-4.2069,1.4641,0.7958,-25.8489,7.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-21.5408,,,,,,11.5802,8.0155,,10.6376,,8.2601,,5.6579,7.7702,,5.5221,,0.9518,,-0.5056,3.4365,,-21.5408,,,QC'd by CANVASS
971,376241736,11769676,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488520-01/222160879,,Inhibitor,0.0553,23.6369,10,Complete curve; partial efficacy; poor fit,-7.2569,1.7885,0.7468,-38.641,-15.0041,-1.4,0 0 0 0 0 0 0 0 0 0 0,-26.9929,,,,,,-16.827,-11.2534,,-20.8875,,-24.9978,,-35.6301,-39.6661,,-47.3789,,-45.3874,,-40.8973,-30.9136,,-26.9929,,,QC'd by CANVASS
972,376241741,134827956,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488623-01/222160884,,Inhibitor,55.3419,42.7592,10,Partial curve; partial efficacy; poor fit,-4.2569,1.21,0.8771,-37.7592,5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-29.7993,,,,,,9.0473,4.6642,,9.3924,,3.9373,,2.984,5.0551,,2.4049,,2.6138,,-7.4717,-5.0032,,-29.7993,,,QC'd by CANVASS
973,376241742,44543743,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488795-01/222160885,,Inhibitor,98.4134,20.8001,10,Partial curve; partial efficacy; poor fit,-4.0069,1.9673,0.5141,-43.4173,-22.6172,-2.4,0 0 0 0 0 0 0 0 0 0 0,-34.9311,,,,,,-30.61,-21.1506,,-17.5976,,-26.0215,,-22.6693,-18.6091,,-24.3328,,-20.9806,,-21.5116,-24.3391,,-34.9311,,,QC'd by CANVASS
974,376241747,132582339,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488529-01/222160890,,Inhibitor,62.0947,30.3542,10,Partial curve; partial efficacy; poor fit,-4.2069,1.4641,0.914,-37.2313,-6.8771,-2.4,0 0 0 0 0 0 0 0 0 0 0,-29.3594,,,,,,-7.1549,-8.8654,,-2.8143,,-10.3364,,-7.3988,-7.0297,,-4.2604,,-8.3003,,-9.3333,-15.272,,-29.3594,,,QC'd by CANVASS
975,376241748,134827971,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488804-01/222160891,,Inhibitor,69.6714,38.2678,10,Single point of activity,-4.1569,4.095,0.9095,-61.2596,-22.9918,-3,0 0 0 0 0 0 0 0 0 0 0,-56.6361,,,,,,-21.6278,-23.0128,,-19.1599,,-19.473,,-25.3594,-19.9296,,-20.5956,,-28.8409,,-27.347,-26.0005,,-56.6361,,,QC'd by CANVASS
976,376241749,101011023,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488596-01/222160892,,Inhibitor,11.0422,86.0538,10,Complete curve; high efficacy; poor fit,-4.9569,1.1,0.9784,-107.3615,-21.3077,-1.3,1 0 0 0 0 0 0 0 0 0 0,-98.8596,,,,,,-73.2312,-12.2016,,-26.6445,,-17.4026,,-29.0178,-22.6494,,-30.701,,-42.7971,,-68.3205,-91.5261,,-98.8596,,,QC'd by CANVASS
977,376241751,71502738,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488593-01/222160894,,Inhibitor,49.3236,37.4417,10,Partial curve; partial efficacy; poor fit,-4.3069,3.132,0.975,-28.8491,8.5926,-2.4,0 0 0 0 0 0 0 0 0 0 0,-29.1567,,,,,,9.0961,7.3424,,9.9657,,7.2803,,11.769,8.7414,,9.7391,,6.6876,,5.8003,-2.3727,,-29.1567,,,QC'd by CANVASS
978,376241753,134828036,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488653-01/222160896,,Inhibitor,69.6714,29.4404,10,Partial curve; partial efficacy; poor fit,-4.1569,1.4641,0.7802,-48.1659,-18.7256,-2.4,0 0 0 0 0 0 0 0 0 0 0,-42.2508,,,,,,-16.6918,-21.3187,,-13.938,,-17.7046,,-21.3367,-17.1694,,-16.8422,,-21.3921,,-26.3607,-21.4772,,-42.2508,,,QC'd by CANVASS
979,376241754,134828018,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488563-01/222160897,,Inhibitor,49.3236,26.5926,10,Partial curve; partial efficacy; poor fit,-4.3069,3.0654,0.937,-13.0926,13.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-11.3272,,,,,,17.7475,11.5979,,12.594,,13.4328,,10.4052,14.2147,,15.458,,14.6029,,12.1618,6.0125,,-11.3272,,,QC'd by CANVASS
980,376241755,44543729,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488647-01/222160898,,Inhibitor,49.3236,43.4146,10,Single point of activity,-4.3069,3.0654,0.9716,-36.5918,6.8228,-3,0 0 0 0 0 0 0 0 0 0 0,-36.3001,,,,,,7.1697,10.1553,,4.7388,,6.913,,7.4734,8.837,,3.8587,,7.6476,,3.1323,-4.8866,,-36.3001,,,QC'd by CANVASS
981,376241764,134827948,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488801-01/222160907,,Inhibitor,49.3236,37.8821,10,Partial curve; partial efficacy; poor fit,-4.3069,3.0654,0.9804,-30.3821,7.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-28.6517,,,,,,9.1273,6.5942,,7.7437,,8.4184,,6.5607,10.4497,,5.8252,,6.4022,,4.5951,-3.9329,,-28.6517,,,QC'd by CANVASS
982,376241772,161532,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00180673-05/222160915,,Inhibitor,110.4217,11.9092,10,Partial curve; partial efficacy; poor fit,-3.9569,4.9549,0.3147,-39.9965,-28.0873,-2.4,0 0 0 0 1 0 0 0 0 0 0,-34.5804,,,,,,-25.9465,-31.5207,,-26.025,,-25.2253,,-67.2026,-26.2904,,-28.9934,,-31.4952,,-32.243,-22.9894,,-34.5804,,,QC'd by CANVASS
